"sno","LargeLS","Ruggedness","SmallLS","DisFromVill","WildPrey","D.0","lcl.0","ucl.0"
272,-0.178849777,0.883177559,-0.15551323,-1.272622807,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
306,0.42922942,-1.170107664,-0.232904202,-1.379866954,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
307,1.841060725,-1.050075988,1.511369238,-1.143499178,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
308,-0.112436876,0.047204734,0.190187332,-1.352809695,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
340,0.280914703,-0.42548638,0.7639876,-1.228817676,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
341,0.634262538,-1.214721208,0.478445202,-1.184114069,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
342,-0.196790175,-0.465319901,-0.232904202,-1.36344225,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
343,-0.196790175,0.694101113,-0.232904202,-1.152955073,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
344,-0.196790175,0.235218953,-0.232904202,-1.013957681,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
345,0.013703064,-0.636869598,-0.052429709,-1.02545675,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
374,-0.023292042,-0.424424153,-0.227473256,-1.201111715,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
375,-0.121797084,-1.088847282,-0.230606494,-1.074238418,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
376,1.1776003,-0.501966741,0.943522122,-0.889783363,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
377,2.013890272,-0.789299205,1.6593625,-1.032522628,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
378,-0.196790175,-0.763274638,-0.232904202,-0.945217777,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
379,-0.196790175,-0.17108296,-0.232904202,-0.683270077,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
380,-0.196790175,1.369677628,-0.232904202,-0.98236306,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
381,-0.196790175,0.304794836,-0.232904202,-1.212142014,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
408,-0.196790175,-1.593405213,-0.232904202,-1.329171142,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
409,-0.196790175,-0.8944597,-0.232904202,-1.188141229,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
410,-0.085916288,-1.160016506,-0.078122258,-1.213693926,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
411,0.695215318,-1.551447238,0.53056139,-0.931181905,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
412,-0.196790175,-1.124431894,-0.232904202,-0.6797034,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
413,-0.196790175,-0.992715718,-0.232904202,-0.629143721,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
415,-0.196790175,3.380473762,-0.232904202,-0.736039841,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
416,-0.196790175,1.081282936,-0.232904202,-0.8602331,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
443,-0.111211135,-0.589600487,-0.230188729,-1.139802288,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
444,3.7018477,0.026491303,7.32655401,-1.330837879,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
445,-0.022512025,-1.439382266,0.010548369,-1.252678777,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
446,-0.143971861,-0.853032838,-0.159168674,-0.947696575,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
447,-0.196790175,-0.778145819,-0.232904202,-0.602658219,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
448,-0.196790175,1.199190158,-0.232904202,-0.290223048,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
451,-0.196790175,0.156614138,-0.232904202,-0.505906942,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
452,-0.196790175,0.734465748,-0.232904202,-0.459069012,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
477,1.512896306,0.091287164,-0.232904202,-1.214827971,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
478,0.605067605,0.100316095,1.583329265,-1.143930068,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
479,-0.196790175,-1.491431399,-0.232904202,-1.160178392,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
480,0.405048884,-0.287927955,1.13026309,-1.064267587,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
481,-0.196790175,-0.748403456,-0.232904202,-0.769943983,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
482,-0.196790175,-0.898708609,-0.232904202,-0.47346238,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
485,-0.196790175,0.527331439,-0.232904202,-0.090283196,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
486,-0.196790175,-0.569949283,-0.232904202,-0.151142793,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
487,-0.130154412,0.139087389,-0.175774834,-0.116717796,1.535766044,0.000106723186909039,5.58160807906283e-05,0.000204060164430859
