FID,Field1,x,y,WPreyD,Rgd,Alt
226,1437,8707000,3737110,0.2500000,41.2067986,4604.0000000
227,1438,8707500,3737110,0.2500000,50.5271988,4564.0000000
228,1439,8708000,3737110,0.2500000,39.9249001,4475.0000000
229,1440,8708500,3737110,0.2500000,108.8899994,4482.0000000
230,1441,8709000,3737110,0.2499000,81.1295013,4381.0000000
231,1442,8709500,3737110,0.2494870,57.2364006,4249.0000000
232,1443,8710000,3737110,0.2488360,98.4784012,4310.0000000
233,1444,8710500,3737110,0.2481320,37.4967003,4389.0000000
234,1445,8711000,3737110,0.2474710,61.0410004,4211.0000000
235,1446,8711500,3737110,0.2466270,36.4142990,4248.0000000
245,1616,8691000,3737610,0.2500000,11.9164000,3728.0000000
246,1617,8691500,3737610,0.2500000,37.5233002,3710.0000000
247,1618,8692000,3737610,0.2500000,52.2685013,3824.0000000
248,1619,8692500,3737610,0.2500000,30.7896004,4120.0000000
249,1620,8693000,3737610,0.2500000,40.7921982,4304.0000000
250,1621,8693500,3737610,0.2500000,70.6470032,4408.0000000
251,1622,8694000,3737610,0.2500000,49.0611992,4592.0000000
252,1623,8694500,3737610,0.2500000,44.4635010,4826.0000000
253,1624,8695000,3737610,0.2500000,44.6766014,4979.0000000
254,1625,8695500,3737610,0.2500000,51.6623993,5177.0000000
255,1626,8696000,3737610,0.2500000,119.6449966,5470.0000000
258,1629,8697500,3737610,0.2500000,58.2408981,5339.0000000
259,1630,8698000,3737610,0.2500000,29.0345001,5156.0000000
260,1631,8698500,3737610,0.2500000,45.0332985,5084.0000000
261,1632,8699000,3737610,0.2500000,21.3306999,5004.0000000
262,1633,8699500,3737610,0.2500000,43.5085983,5102.0000000
263,1634,8700000,3737610,0.2500000,60.0000000,5108.0000000
264,1635,8700500,3737610,0.2500000,57.3585014,5225.0000000
270,1641,8703500,3737610,0.2500000,21.1896000,5426.0000000
271,1642,8704000,3737610,0.2500000,35.6371002,5365.0000000
272,1643,8704500,3737610,0.2500000,18.8680000,5181.0000000
273,1644,8705000,3737610,0.2500000,41.9642982,5205.0000000
274,1645,8705500,3737610,0.2500000,48.1248016,5026.0000000
275,1646,8706000,3737610,0.2500000,39.2938004,4835.0000000
276,1647,8706500,3737610,0.2500000,14.3874998,4732.0000000
277,1648,8707000,3737610,0.2500000,62.8648987,4690.0000000
278,1649,8707500,3737610,0.2500000,67.1416016,4829.0000000
279,1650,8708000,3737610,0.2500000,79.7433014,4922.0000000
280,1651,8708500,3737610,0.2498210,32.3264999,4959.0000000
281,1652,8709000,3737610,0.2495430,61.0900993,4816.0000000
282,1653,8709500,3737610,0.2489720,39.2428017,4562.0000000
283,1654,8710000,3737610,0.2482690,49.2239990,4246.0000000
284,1655,8710500,3737610,0.2475120,22.9783001,4117.0000000
285,1656,8711000,3737610,0.2466840,109.7360001,4272.0000000
286,1657,8711500,3737610,0.2458920,40.0749016,4572.0000000
287,1658,8712000,3737610,0.2450280,54.0833015,4561.0000000
288,1659,8712500,3737610,0.2441670,93.2470016,4633.0000000
297,1825,8690000,3738110,0.2500000,67.1416016,3900.0000000
298,1826,8690500,3738110,0.2500000,39.6610985,3705.0000000
299,1827,8691000,3738110,0.2500000,3.6055501,3670.0000000
300,1828,8691500,3738110,0.2500000,24.5356998,3707.0000000
301,1829,8692000,3738110,0.2500000,41.1581993,3852.0000000
302,1830,8692500,3738110,0.2500000,55.6955986,4006.0000000
303,1831,8693000,3738110,0.2500000,55.7853012,4110.0000000
304,1832,8693500,3738110,0.2500000,64.3739014,4364.0000000
305,1833,8694000,3738110,0.2500000,68.7095032,4669.0000000
306,1834,8694500,3738110,0.2500000,52.2111015,4763.0000000
307,1835,8695000,3738110,0.2500000,36.0000000,4984.0000000
308,1836,8695500,3738110,0.2500000,43.3244019,5232.0000000
310,1838,8696500,3738110,0.2500000,36.4006004,5470.0000000
311,1839,8697000,3738110,0.2500000,18.3302994,5374.0000000
312,1840,8697500,3738110,0.2500000,29.0688992,5277.0000000
313,1841,8698000,3738110,0.2500000,25.1396008,5166.0000000
314,1842,8698500,3738110,0.2500000,28.7749996,5017.0000000
315,1843,8699000,3738110,0.2500000,56.1693993,4925.0000000
316,1844,8699500,3738110,0.2500000,71.0845032,4994.0000000
317,1845,8700000,3738110,0.2500000,18.1933994,5025.0000000
318,1846,8700500,3738110,0.2500000,14.4222002,5247.0000000
319,1847,8701000,3738110,0.2500000,60.0250015,5383.0000000
320,1848,8701500,3738110,0.2500000,126.9840012,5374.0000000
321,1849,8702000,3738110,0.2500000,107.8470001,5298.0000000
325,1853,8704000,3738110,0.2500000,42.8134995,5361.0000000
326,1854,8704500,3738110,0.2500000,24.1453991,5212.0000000
327,1855,8705000,3738110,0.2500000,46.3357010,5115.0000000
328,1856,8705500,3738110,0.2500000,20.1494007,4937.0000000
329,1857,8706000,3738110,0.2500000,28.0534992,4871.0000000
330,1858,8706500,3738110,0.2500000,78.3262024,4907.0000000
331,1859,8707000,3738110,0.2500000,56.9649010,5048.0000000
332,1860,8707500,3738110,0.2500000,53.7865982,5093.0000000
