sno,x,y,villdist,rugged,WP numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity
744,8648250,3799360,7189.43,43.19,10,0.01,166,20,18.2,2.19
745,8651250,3799360,4249.21,7.69,42,0.04,0,0,0,0
746,8654250,3799360,1556.83,12.57,42,0.04,0,0,0,0
747,8657250,3799360,943.64,29.32,42,0.04,0,0,0,0
748,8660250,3799360,2592.26,44.14,42,0.04,0,0,0,0
749,8663250,3799360,1952.58,32.02,42,0.04,0,0,0,0
750,8666250,3799360,1298.14,5.39,42,0.04,0,0,0,0
751,8669250,3799360,1812.05,16.51,42,0.04,0,0,0,0
752,8672250,3799360,1021.5,35.73,42,0.04,114,90,209.81,165.64
753,8675250,3799360,3907.86,18.74,42,0.04,0,0,0,0
754,8678250,3799360,6891.98,86.04,940,0.58,0,0,0,0
756,8684250,3799360,12882.36,43.19,940,0.58,0,0,0,0
764,8708250,3799360,27423.78,8.93,940,0.58,0,0,0,0
773,8630250,3802360,25437.34,23.38,10,0.01,0,5000,0,25.08
774,8633250,3802360,22481.69,27.43,10,0.01,0,5000,0,25.08
775,8636250,3802360,19539.56,30.82,10,0.01,0,5000,0,25.08
776,8639250,3802360,16618.13,34.15,10,0.01,0,0,0,0
777,8642250,3802360,13730.63,49.33,10,0.01,0,0,0,0
778,8645250,3802360,10904.04,45.96,10,0.01,166,20,15.91,1.92
779,8648250,3802360,8201.58,13.99,42,0.04,0,0,0,0
780,8651250,3802360,5799.46,26.18,42,0.04,0,0,0,0
781,8654250,3802360,4242.84,69.59,42,0.04,0,0,0,0
783,8660250,3802360,4517.81,31.24,42,0.04,0,0,0,0
785,8666250,3802360,2874.01,47.89,42,0.04,0,0,0,0
786,8669250,3802360,3139.79,48.53,42,0.04,0,0,0,0
787,8672250,3802360,3639.01,46.58,42,0.04,0,0,0,0
788,8675250,3802360,5241.22,29.24,42,0.04,0,0,0,0
789,8678250,3802360,7726.47,35.51,42,0.04,114,90,7.09,5.6
791,8684250,3802360,13347.44,18.84,940,0.58,0,0,0,0
793,8690250,3802360,18529.65,53.54,940,0.58,0,0,0,0
794,8693250,3802360,20125.17,27.76,940,0.58,0,0,0,0
795,8696250,3802360,22015.83,31.72,940,0.58,0,0,0,0
796,8699250,3802360,24057.33,66.21,940,0.58,0,0,0,0
806,8624250,3805360,31904.55,49.07,10,0.01,0,0,0,0
807,8627250,3805360,28987.39,37.21,10,0.01,0,5000,0,25.08
808,8630250,3805360,26089.01,32.21,10,0.01,0,5000,0,25.08
809,8633250,3805360,23216.47,6.83,10,0.01,0,0,0,0
810,8636250,3805360,20380.68,37.71,10,0.01,0,5000,0,553.6
811,8639250,3805360,17599.44,8.83,10,0.01,0,5000,0,1000.74
812,8642250,3805360,14903.29,11.38,10,0.01,166,20,13.02,1.57
813,8645250,3805360,12348.11,26.2,10,0.01,166,20,17.7,2.13
814,8648250,3805360,10042.1,55.42,42,0.04,166,20,23.75,2.86
815,8651250,3805360,8198.28,36.35,42,0.04,0,0,0,0
816,8654250,3805360,7181.9,76.54,42,0.04,0,0,0,0
820,8666250,3805360,5730.16,12.17,42,0.04,0,0,0,0
821,8669250,3805360,5867.97,60.51,42,0.04,0,0,0,0
822,8672250,3805360,6591,42.43,42,0.04,0,0,0,0
824,8678250,3805360,9481.41,54.72,42,0.04,114,90,7.09,5.6
825,8681250,3805360,11837.45,34.31,940,0.58,0,0,0,0
827,8687250,3805360,17163.36,35.27,940,0.58,0,0,0,0
829,8693250,3805360,22625.87,32.19,940,0.58,0,0,0,0
831,8699250,3805360,26254.13,36.16,940,0.58,0,0,0,0
842,8627250,3808360,29863.8,16.4,10,0.01,0,0,0,0
843,8630250,3808360,27059.46,43.63,10,0.01,0,5000,0,74.92
844,8633250,3808360,24301.9,42.54,10,0.01,0,5000,0,74.92
845,8636250,3808360,21609.03,43.39,10,0.01,0,0,0,0
846,8639250,3808360,19008.37,48.8,10,0.01,0,5000,0,787.28
847,8642250,3808360,16543.46,25.6,10,0.01,166,20,6.28,0.76
848,8645250,3808360,14284.74,63.45,10,0.01,166,20,13.02,1.57
851,8654250,3808360,10156.65,39.02,42,0.04,0,0,0,0
852,8657250,3808360,9796.06,53.93,42,0.04,0,0,0,0
853,8660250,3808360,10089.21,30.58,42,0.04,0,0,0,0
854,8663250,3808360,9581.81,46.68,42,0.04,0,0,0,0
855,8666250,3808360,8683.86,33.68,42,0.04,0,0,0,0
856,8669250,3808360,8775.41,42.23,42,0.04,0,0,0,0
858,8675250,3808360,10289.23,34.84,42,0.04,0,0,0,0
862,8687250,3808360,18514.32,33.33,940,0.58,0,0,0,0
864,8693250,3808360,23858.66,17.52,940,0.58,0,0,0,0
865,8696250,3808360,26635.76,60.52,940,0.58,0,0,0,0
866,8699250,3808360,28533.96,20.87,940,0.58,0,0,0,0
877,8627250,3811360,31006.85,20.85,10,0.01,0,5000,0,74.92
878,8630250,3811360,28315.94,37.73,10,0.01,0,0,0,0
879,8633250,3811360,25693.58,34.52,10,0.01,0,0,0,0
880,8636250,3811360,23163.08,46.19,10,0.01,0,0,0,0
881,8639250,3811360,20758.04,34.86,10,0.01,0,0,0,0
882,8642250,3811360,18527.38,40.28,10,0.01,166,20,6.28,0.76
883,8645250,3811360,16541.82,34.3,42,0.04,166,20,8.26,1
885,8651250,3811360,13724.71,53.33,42,0.04,0,0,0,0
886,8654250,3811360,13142.89,40.28,42,0.04,0,0,0,0
887,8657250,3811360,12792.71,65.08,42,0.04,0,0,0,0
889,8663250,3811360,12344.47,25.5,42,0.04,0,0,0,0
890,8666250,3811360,11661.23,25.76,42,0.04,0,0,0,0
894,8678250,3811360,14293.18,33.42,42,0.04,0,0,0,0
895,8681250,3811360,15953.78,35.98,42,0.04,0,0,0,0
896,8684250,3811360,17965.27,38.65,42,0.04,0,0,0,0
897,8687250,3811360,20223.23,12.88,42,0.04,0,0,0,0
898,8690250,3811360,22654.07,7.57,940,0.58,0,0,0,0
899,8693250,3811360,25207.83,41.62,940,0.58,0,0,0,0
913,8630250,3814360,29822.31,37.19,10,0.01,0,0,0,0
915,8636250,3814360,24982.12,17.8,10,0.01,0,0,0,0
917,8642250,3814360,20756.73,59.07,10,0.01,0,0,0,0
918,8645250,3814360,19005.52,37.4,42,0.04,166,20,8.26,1
920,8651250,3814360,16611.61,10.08,42,0.04,0,0,0,0
921,8654250,3814360,16134.23,31.55,42,0.04,0,0,0,0
925,8666250,3814360,14647.83,43.45,42,0.04,0,0,0,0
926,8669250,3814360,14702.29,16.07,42,0.04,0,0,0,0
928,8675250,3814360,16008.31,43.96,42,0.04,0,0,0,0
930,8681250,3814360,18404.4,17.33,42,0.04,0,0,0,0
931,8684250,3814360,20173,24.2,42,0.04,0,0,0,0
932,8687250,3814360,22207.61,45.28,42,0.04,0,0,0,0
949,8633250,3817360,29211.58,56.08,10,0.01,0,0,0,0
950,8636250,3817360,27012.67,39.18,10,0.01,0,0,0,0
951,8639250,3817360,24981.03,31.3,10,0.01,0,0,0,0
954,8648250,3817360,20375.37,49.32,42,0.04,0,0,0,0
955,8651250,3817360,19532.63,51.96,42,0.04,0,0,0,0
957,8657250,3817360,18789.23,84.03,42,0.04,0,0,0,0
958,8660250,3817360,18943.72,10.52,42,0.04,0,0,0,0
959,8663250,3817360,18097.94,84.44,42,0.04,0,0,0,0
960,8666250,3817360,17638.98,46.12,42,0.04,0,0,0,0
961,8669250,3817360,17684.23,52.36,42,0.04,0,0,0,0
964,8678250,3817360,19765.95,8.5,42,0.04,0,0,0,0
966,8684250,3817360,22564.33,46.17,42,0.04,0,0,0,0
967,8687250,3817360,24400.34,39.86,42,0.04,0,0,0,0
985,8636250,3820360,29210.65,36.54,10,0.01,0,0,0,0
986,8639250,3820360,27342.82,45.69,42,0.04,0,0,0,0
989,8648250,3820360,23210.64,62.16,42,0.04,0,0,0,0
990,8651250,3820360,22474.46,41.12,42,0.04,0,0,0,0
992,8657250,3820360,21788.2,23.11,42,0.04,0,0,0,0
994,8663250,3820360,21026.41,50.52,42,0.04,0,0,0,0
995,8666250,3820360,20632.7,22.35,42,0.04,0,0,0,0
999,8678250,3820360,22602.92,29.59,42,0.04,0,0,0,0
1021,8639250,3823360,29819.59,39.65,42,0.04,0,0,0,0
1026,8654250,3823360,25031.72,38.64,42,0.04,0,0,0,0
1027,8657250,3823360,24787.43,36.16,42,0.04,0,0,0,0
1029,8663250,3823360,23972.59,9.64,42,0.04,0,0,0,0
1030,8666250,3823360,23628.02,50.17,42,0.04,0,0,0,0
1059,8648250,3826360,28980.85,85.81,42,0.04,0,0,0,0
1060,8651250,3826360,28394.67,40.21,42,0.04,0,0,0,0
1063,8660250,3826360,27561.95,40.67,42,0.04,0,0,0,0
