sno	x	y	LargeLS	Ruggedness	SmallLS	DisFromVill	WildPrey
25	8696250	3736360	-0.196790175	1.301163972	-0.232904202	0.432108825	0.097022695
26	8699250	3736360	-0.042792475	0.491746827	-0.138280423	0.14601829	0.097022695
27	8702250	3736360	-0.128260084	-0.433984198	-0.190814375	-0.122145347	0.097022695
28	8705250	3736360	-0.128260084	0.288861427	-0.190814375	-0.348425099	0.097022695
29	8708250	3736360	-0.009363162	0.24212343	-0.117183289	-0.492855961	0.097022695
58	8690250	3739360	-0.196790175	1.301695085	-0.232904202	0.817824813	0.097022695
59	8693250	3739360	-0.196790175	1.204501294	-0.232904202	0.565911868	0.097022695
61	8699250	3739360	-0.196790175	2.829708947	-0.232904202	-0.055213048	0.097022695
62	8702250	3739360	-0.128260084	-0.668736415	-0.190814375	-0.353375594	0.097022695
64	8708250	3739360	0.049806721	0.625587457	-0.081464379	-0.830061361	0.097022695
65	8711250	3739360	-0.196790175	-0.982093446	-0.232904202	-0.867411435	0.097022695
66	8714250	3739360	-0.196790175	-1.094689531	-0.232904202	-0.710348644	0.009826128
90	8681250	3742360	-0.196790175	-0.633682916	-0.232904202	1.520166489	0.097022695
91	8684250	3742360	-0.196790175	1.175821159	-0.232904202	1.217543527	0.097022695
92	8687250	3742360	-0.196790175	1.472713668	-0.232904202	0.902036493	0.097022695
93	8690250	3742360	-0.196790175	-0.652803006	-0.232904202	0.59954256	0.097022695
94	8693250	3742360	-0.196790175	2.313466516	-0.232904202	0.316759457	0.097022695
95	8696250	3742360	-0.196790175	0.791294904	-0.232904202	0.064775486	0.097022695
96	8699250	3742360	-0.196790175	-0.470099924	-0.232904202	-0.186691181	0.097022695
97	8702250	3742360	-0.067195873	0.61124739	-0.153319964	-0.526406157	0.097022695
98	8705250	3742360	-0.067195873	-0.18276746	-0.153319964	-0.848030876	0.097022695
99	8708250	3742360	-0.196790175	0.549638211	-0.232904202	-1.126219797	0.097022695
100	8711250	3742360	0.022171823	0.212381067	-0.098383862	-1.20537326	0.009826128
