#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain,Site
87,530019,4073259,11,/,Reconyx,yes,Skunk,Pasture,draw,KNP_2011
88,530493,4071446,11,/,Reconyx,yes,Castor,Pasture,draw,KNP_2011
89,532030,4069744,11,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
90,532939,4069601,11,/,Reconyx,no,none,Pasture,draw,KNP_2011
91,484779,4065240,10,/,Reconyx,yes,Skunk,Forest,draw,KNP_2011
92,484877,4066301,10,/,Reconyx,yes,Skunk,Pasture,Cliff_base,KNP_2011
93,484791,4067024,10,/,Reconyx,yes,Castor,Pasture,ridge,KNP_2011
94,485857,4066078,10,/,Reconyx,yes,Castor,Scrub,ridge_draw,KNP_2011
95,487203,4069441,10,/,Reconyx,no,none,Scrub,ridge,KNP_2011
96,483803,4064782,10,/,Reconyx,no,none,Scrub,ridge_cliff_base,KNP_2011
97,524967,4033053,10,/,Reconyx,yes,Skunk,Pasture,ridge,Shimshal
98,523305,4033312,10,/,Reconyx,yes,Skunk,Pasture,ridge,Shimshal
99,529890,4040121,10,/,Reconyx,yes,Castor,Pasture,Cliff_base,Shimshal
100,530114,4041700,10,/,Reconyx,yes,Castor,Pasture,ridge,Shimshal
101,520532,4037484,10,/,Reconyx,no,none,Pasture,ridge,Shimshal
102,522131,4037407,10,/,Reconyx,yes,Castor,Pasture,ridge_cliff_base,Shimshal
103,529254,4034949,10,/,Reconyx,no,none,Pasture,ridge,Shimshal
104,527977,4035123,10,/,Reconyx,no,none,Pasture,draw,Shimshal
105,532125,4035759,10,/,Reconyx,no,none,Pasture,ridge,Shimshal
106,532211,4038226,10,/,Reconyx,yes,Skunk,Pasture,Cliff_base,Shimshal
107,537972,4036375,10,/,Reconyx,yes,Skunk,Pasture,ridge,Shimshal
108,534870,4037025,11,/,Reconyx,no,none,Pasture,ridge,Shimshal
109,541832,4035648,10,/,Reconyx,yes,Castor,Pasture,draw,Shimshal
110,540464,4036319,10,/,Reconyx,no,none,Scrub,PLATEAU,Shimshal
111,529832,4031425,12,/,Reconyx,no,none,Pasture,ridge,Shimshal
112,527219,4031913,12,/,Reconyx,no,none,Pasture,Cliff_base,Shimshal
113,531543,4033706,10,/,Reconyx,no,none,Pasture,draw,Shimshal
114,533240,4032326,10,/,Reconyx,yes,Skunk,Pasture,valley,Shimshal
115,536166,4032884,10,/,Reconyx,yes,Castor,Pasture,ridge,Shimshal
116,535739,4031378,10,/,Reconyx,yes,Skunk,Pasture,ridge,Shimshal
117,540704,4034301,10,/,Reconyx,yes,Castor,Forest,draw,Shimshal
118,541609,4034081,10,/,Reconyx,yes,Skunk,Pasture,ridge,Shimshal
119,530036,4029589,12,/,Reconyx,yes,Skunk,Scrub,ridge,Shimshal
120,526901,4029515,12,/,Reconyx,yes,Castor,Pasture,draw,Shimshal
121,534473,4025911,10,/,Reconyx,yes,Skunk,Pasture,ridge_draw,Shimshal
122,534231,4029400,10,/,Reconyx,no,none,Pasture,valley_draw,Shimshal
123,538286,4024561,10,/,Reconyx,no,none,Scrub,ridge,Shimshal
124,540146,4024433,10,/,Reconyx,yes,Castor,Pasture,draw,Shimshal
125,540753,4020237,10,/,Reconyx,yes,Skunk,Pasture,ridge,Shimshal
126,541234,4020607,10,/,Reconyx,yes,Castor,Pasture,ridge_draw,Shimshal
127,546712,4021177,10,/,Reconyx,yes,Skunk,Scrub,Cliff_base,Shimshal
