FID,Field1,Rgd,Alt,StdRgd,StdAlt,D.0,x,y
61,2162,38.8947983,4508,-0.163762259,-0.459083133,0.000174169,307262.5272,3128250.081
62,2163,35.0517006,4223,-0.349039759,-0.842170438,0.000195304,308262.5272,3128250.081
63,2164,50.4915009,4019,0.395320083,-1.116380298,0.000191406,309262.5272,3128250.081
64,2165,67.1230011,3455,1.197132323,-1.87448991,0.000116183,310262.5272,3128250.081
65,2166,66.6276016,3364,1.173248887,-1.996809015,0.000100845,311262.5272,3128250.081
66,2167,54.8097992,2796,0.603507222,-2.760295291,2.84E-05,312262.5272,3128250.081
67,2168,52.2938004,3286,0.482209768,-2.101653961,8.81E-05,313262.5272,3128250.081
68,2169,51.4850998,3767,0.443221941,-1.455110125,0.000165975,314262.5272,3128250.081
69,2170,47.1082993,4197,0.232214385,-0.877118753,0.000195728,315262.5272,3128250.081
70,2171,48.3026009,4540,0.289792212,-0.416069822,0.000170167,316262.5272,3128250.081
71,2172,49.0525017,4414,0.325945273,-0.585434736,0.00018423,317262.5272,3128250.081
72,2173,52.1442986,4243,0.475002217,-0.815287118,0.000194795,318262.5272,3128250.081
73,2174,52.2526016,4510,0.480223554,-0.456394801,0.000173927,319262.5272,3128250.081
74,2175,47.8656998,4827,0.26872901,-0.030294186,0.000125782,320262.5272,3128250.081
75,2176,52.0519981,5151,0.470552368,0.405215592,7.30E-05,321262.5272,3128250.081
76,2177,52.6971016,5629,0.501653103,1.04772693,2.21E-05,322262.5272,3128250.081
77,2178,46.6416016,5521,0.209714675,0.902557004,3.02E-05,323262.5272,3128250.081
78,2179,45.9324989,5272,0.175528509,0.567859675,5.64E-05,324262.5272,3128250.081
79,2180,42.5192986,4815,0.01097656,-0.046424178,0.000127813,325262.5272,3128250.081
80,2181,49.5037994,4270,0.347702542,-0.778994637,0.000193858,326262.5272,3128250.081
81,2182,56.1072006,4250,0.666055537,-0.805877956,0.000194579,327262.5272,3128250.081
82,2183,59.5573997,3716,0.832391216,-1.52366259,0.000158724,328262.5272,3128250.081
83,2184,58.2214012,3188,0.767982116,-2.233382227,7.31E-05,329262.5272,3128250.081
84,2375,59.486599,2746,0.828977881,-2.82750359,2.46E-05,299262.5272,3129250.081
85,2376,51.5830002,2785,0.447941764,-2.775081117,2.75E-05,300262.5272,3129250.081
86,2377,50.2607002,3079,0.384193076,-2.379896319,5.80E-05,301262.5272,3129250.081
87,2378,54.5980988,3063,0.593301048,-2.401402975,5.60E-05,302262.5272,3129250.081
88,2379,58.6806984,3386,0.790125045,-1.967237363,0.000104519,303262.5272,3129250.081
89,2380,60.5806999,4026,0.881724987,-1.106971136,0.000191809,304262.5272,3129250.081
90,2381,54.2929993,3761,0.578592062,-1.46317512,0.000165151,305262.5272,3129250.081
91,2382,54.9964981,4226,0.612508061,-0.83813794,0.000195238,306262.5272,3129250.081
92,2383,45.6659012,4474,0.162675712,-0.504784777,0.000178115,307262.5272,3129250.081
