FID,D,x,y
157,0.000195095,309262.5272,3131250.081
158,0.000187847,310262.5272,3131250.081
159,0.00013495,311262.5272,3131250.081
160,0.000116693,312262.5272,3131250.081
161,0.000149888,313262.5272,3131250.081
162,0.000195336,314262.5272,3131250.081
163,0.000158505,315262.5272,3131250.081
164,0.000112535,316262.5272,3131250.081
165,9.50E-05,317262.5272,3131250.081
166,5.60E-05,318262.5272,3131250.081
167,5.65E-05,319262.5272,3131250.081
168,0.000139836,320262.5272,3131250.081
169,0.00011882,321262.5272,3131250.081
170,0.00011916,322262.5272,3131250.081
171,0.00019045,323262.5272,3131250.081
172,0.000191406,324262.5272,3131250.081
173,0.000184183,325262.5272,3131250.081
174,0.000186558,326262.5272,3131250.081
175,0.000174828,327262.5272,3131250.081
176,0.000191046,328262.5272,3131250.081
177,0.00019453,329262.5272,3131250.081
178,0.000165497,330262.5272,3131250.081
179,0.000192032,331262.5272,3131250.081
180,9.36E-05,332262.5272,3131250.081
181,7.91E-05,333262.5272,3131250.081
182,5.77E-05,289262.5272,3132250.081
183,9.07E-05,290262.5272,3132250.081
184,5.26E-05,298262.5272,3132250.081
185,6.96E-05,299262.5272,3132250.081
186,0.000119583,300262.5272,3132250.081
187,0.000117712,301262.5272,3132250.081
188,5.20E-05,302262.5272,3132250.081
189,5.79E-05,303262.5272,3132250.081
190,8.97E-05,304262.5272,3132250.081
191,0.000177722,305262.5272,3132250.081
192,0.000191437,306262.5272,3132250.081
193,7.92E-05,307262.5272,3132250.081
194,0.00014375,308262.5272,3132250.081
195,0.000192168,309262.5272,3132250.081
196,0.00017693,310262.5272,3132250.081
197,0.000164319,311262.5272,3132250.081
198,0.000157688,312262.5272,3132250.081
199,0.000170359,313262.5272,3132250.081
200,0.000187335,314262.5272,3132250.081
201,0.000140984,315262.5272,3132250.081
202,6.12E-05,316262.5272,3132250.081
203,1.14E-05,317262.5272,3132250.081
204,3.18E-05,318262.5272,3132250.081
205,7.73E-05,319262.5272,3132250.081
206,0.000154454,320262.5272,3132250.081
207,0.000150907,321262.5272,3132250.081
208,0.000179961,322262.5272,3132250.081
209,0.000194795,323262.5272,3132250.081
210,0.000178226,324262.5272,3132250.081
211,0.000192168,325262.5272,3132250.081
212,0.000194053,326262.5272,3132250.081
213,0.000195508,327262.5272,3132250.081
214,0.000175066,328262.5272,3132250.081
215,0.000191495,329262.5272,3132250.081
216,0.000192932,330262.5272,3132250.081
217,0.000174589,331262.5272,3132250.081
218,0.000112448,332262.5272,3132250.081
219,4.05E-05,333262.5272,3132250.081
220,4.23E-05,334262.5272,3132250.081
221,6.52E-05,335262.5272,3132250.081
222,0.00014008,283262.5272,3133250.081
223,5.65E-05,284262.5272,3133250.081
224,2.91E-05,285262.5272,3133250.081
225,3.79E-05,286262.5272,3133250.081
226,3.72E-05,287262.5272,3133250.081
227,4.92E-05,288262.5272,3133250.081
228,0.000118223,289262.5272,3133250.081
229,9.18E-05,290262.5272,3133250.081
230,3.77E-05,291262.5272,3133250.081
231,5.21E-05,298262.5272,3133250.081
232,0.000111939,299262.5272,3133250.081
233,0.000167599,300262.5272,3133250.081
234,0.000194853,301262.5272,3133250.081
235,0.000107376,302262.5272,3133250.081
236,0.000162204,303262.5272,3133250.081
237,6.57E-05,304262.5272,3133250.081
238,0.000115673,305262.5272,3133250.081
239,0.000184367,306262.5272,3133250.081
240,0.000130175,307262.5272,3133250.081
241,7.96E-05,308262.5272,3133250.081
242,0.000166996,309262.5272,3133250.081
243,0.000189648,310262.5272,3133250.081
244,0.000195879,311262.5272,3133250.081
245,0.000195566,312262.5272,3133250.081
246,0.000195095,313262.5272,3133250.081
247,0.000195346,314262.5272,3133250.081
248,0.000123748,315262.5272,3133250.081
249,2.14E-05,316262.5272,3133250.081
250,2.19E-05,317262.5272,3133250.081
251,8.50E-05,318262.5272,3133250.081
252,0.00012001,319262.5272,3133250.081
253,7.51E-05,320262.5272,3133250.081
254,8.44E-05,321262.5272,3133250.081
255,0.000129838,322262.5272,3133250.081
256,0.000106284,323262.5272,3133250.081
257,0.000114571,324262.5272,3133250.081
258,0.000131857,325262.5272,3133250.081
259,0.000170167,326262.5272,3133250.081
260,0.000195533,327262.5272,3133250.081
261,0.000194735,328262.5272,3133250.081
262,0.000155667,329262.5272,3133250.081
263,0.000193937,330262.5272,3133250.081
264,0.000165427,331262.5272,3133250.081
265,8.99E-05,332262.5272,3133250.081
266,7.94E-05,333262.5272,3133250.081
267,0.000163055,334262.5272,3133250.081
268,7.89E-05,335262.5272,3133250.081
269,0.000173131,281262.5272,3134250.081
270,0.000193611,282262.5272,3134250.081
271,0.000164874,283262.5272,3134250.081
272,0.000124169,284262.5272,3134250.081
273,8.56E-05,285262.5272,3134250.081
274,0.000132609,286262.5272,3134250.081
275,0.000110585,287262.5272,3134250.081
276,0.000149259,288262.5272,3134250.081
277,0.000139752,289262.5272,3134250.081
278,0.000122642,290262.5272,3134250.081
279,0.000108219,291262.5272,3134250.081
280,2.61E-05,292262.5272,3134250.081
281,0.000112109,298262.5272,3134250.081
282,0.00014139,299262.5272,3134250.081
283,0.000190985,300262.5272,3134250.081
284,0.000183098,301262.5272,3134250.081
285,0.000194256,302262.5272,3134250.081
286,0.000194853,303262.5272,3134250.081
287,0.000124339,304262.5272,3134250.081
288,0.000194256,305262.5272,3134250.081
289,0.00018697,306262.5272,3134250.081
290,0.000150595,307262.5272,3134250.081
291,2.54E-05,308262.5272,3134250.081
292,7.18E-05,309262.5272,3134250.081
293,0.00014,310262.5272,3134250.081
294,0.000143912,311262.5272,3134250.081
295,0.000126629,312262.5272,3134250.081
296,0.0001808,313262.5272,3134250.081
297,0.000176067,314262.5272,3134250.081
298,4.61E-05,315262.5272,3134250.081
299,2.57E-05,317262.5272,3134250.081
300,3.15E-05,318262.5272,3134250.081
301,4.64E-05,319262.5272,3134250.081
302,1.29E-05,320262.5272,3134250.081
303,2.71E-05,321262.5272,3134250.081
304,2.47E-05,322262.5272,3134250.081
305,6.70E-05,323262.5272,3134250.081
306,0.00015323,324262.5272,3134250.081
307,0.000194165,325262.5272,3134250.081
308,0.000182563,326262.5272,3134250.081
309,0.000189818,327262.5272,3134250.081
310,0.000160117,328262.5272,3134250.081
311,0.000175127,329262.5272,3134250.081
312,0.000195881,330262.5272,3134250.081
313,0.000150201,331262.5272,3134250.081
314,0.00015176,332262.5272,3134250.081
315,0.000161775,333262.5272,3134250.081
316,9.13E-05,334262.5272,3134250.081
317,3.87E-05,335262.5272,3134250.081
318,4.35E-05,338262.5272,3134250.081
319,0.000194345,279262.5272,3135250.081
320,0.000160333,280262.5272,3135250.081
321,0.000193098,281262.5272,3135250.081
322,0.000186766,282262.5272,3135250.081
323,0.000193236,283262.5272,3135250.081
324,0.000188533,284262.5272,3135250.081
325,0.000184183,285262.5272,3135250.081
326,0.000185533,286262.5272,3135250.081
327,0.000120943,287262.5272,3135250.081
328,5.62E-05,288262.5272,3135250.081
329,4.13E-05,289262.5272,3135250.081
330,8.54E-05,290262.5272,3135250.081
331,3.48E-05,291262.5272,3135250.081
332,3.75E-05,292262.5272,3135250.081
333,3.85E-05,298262.5272,3135250.081
334,5.94E-05,299262.5272,3135250.081
335,0.000126711,300262.5272,3135250.081
336,0.000189403,301262.5272,3135250.081
337,0.000188646,302262.5272,3135250.081
338,0.000167935,303262.5272,3135250.081
339,0.000170744,304262.5272,3135250.081
340,0.000188347,305262.5272,3135250.081
341,0.000149968,306262.5272,3135250.081
342,0.000105276,307262.5272,3135250.081
343,1.11E-05,308262.5272,3135250.081
344,2.37E-05,309262.5272,3135250.081
345,5.08E-05,310262.5272,3135250.081
346,4.84E-05,311262.5272,3135250.081
347,4.39E-05,312262.5272,3135250.081
348,5.64E-05,313262.5272,3135250.081
349,6.23E-05,314262.5272,3135250.081
350,7.65E-06,315262.5272,3135250.081
351,6.48E-06,316262.5272,3135250.081
352,2.01E-05,321262.5272,3135250.081
353,8.80E-05,322262.5272,3135250.081
354,0.000145363,323262.5272,3135250.081
355,0.00019298,324262.5272,3135250.081
356,0.000185002,325262.5272,3135250.081
357,0.000195882,326262.5272,3135250.081
358,0.000177668,327262.5272,3135250.081
359,0.0001178,328262.5272,3135250.081
360,0.000195282,329262.5272,3135250.081
361,0.00017828,330262.5272,3135250.081
362,0.000187533,331262.5272,3135250.081
363,0.000184868,332262.5272,3135250.081
364,0.000173743,333262.5272,3135250.081
365,0.000171886,334262.5272,3135250.081
366,0.000119243,335262.5272,3135250.081
367,4.43E-05,336262.5272,3135250.081
368,7.29E-05,339262.5272,3135250.081
369,0.00018697,340262.5272,3135250.081
370,0.000155741,278262.5272,3136250.081
371,0.000168334,279262.5272,3136250.081
372,0.000168266,280262.5272,3136250.081
373,0.000189156,281262.5272,3136250.081
374,0.000158652,282262.5272,3136250.081
375,0.00017676,283262.5272,3136250.081
376,0.000176874,284262.5272,3136250.081
377,0.000193797,285262.5272,3136250.081
378,0.000132442,286262.5272,3136250.081
379,8.05E-05,287262.5272,3136250.081
380,3.80E-05,288262.5272,3136250.081
381,3.47E-05,299262.5272,3136250.081
382,5.49E-05,300262.5272,3136250.081
383,9.17E-05,301262.5272,3136250.081
384,0.000184822,302262.5272,3136250.081
385,0.000169908,303262.5272,3136250.081
386,0.000185226,304262.5272,3136250.081
387,0.000175834,305262.5272,3136250.081
388,9.14E-05,306262.5272,3136250.081
389,1.43E-05,307262.5272,3136250.081
390,2.12E-05,308262.5272,3136250.081
391,4.24E-05,309262.5272,3136250.081
392,1.02E-05,310262.5272,3136250.081
393,1.13E-05,313262.5272,3136250.081
394,6.53E-06,314262.5272,3136250.081
395,9.06E-06,317262.5272,3136250.081
396,3.45E-05,318262.5272,3136250.081
397,4.02E-05,319262.5272,3136250.081
398,1.46E-05,320262.5272,3136250.081
399,4.77E-05,321262.5272,3136250.081
400,0.00012001,322262.5272,3136250.081
401,0.000192637,323262.5272,3136250.081
402,0.000189403,324262.5272,3136250.081
403,0.000161418,325262.5272,3136250.081
404,0.000127982,326262.5272,3136250.081
405,0.000106957,327262.5272,3136250.081
406,0.00012018,328262.5272,3136250.081
407,0.000172202,329262.5272,3136250.081
408,0.000190642,330262.5272,3136250.081
409,0.000177103,331262.5272,3136250.081
410,0.000134535,332262.5272,3136250.081
411,0.000187094,333262.5272,3136250.081
412,0.000195271,334262.5272,3136250.081
413,0.00015407,335262.5272,3136250.081
414,6.32E-05,336262.5272,3136250.081
415,2.75E-05,337262.5272,3136250.081
416,2.71E-05,339262.5272,3136250.081
