FID,FID_,Field1,Rgd,Alt,StdRgd,StdAlt,D_0,x,y
0,1097,6513,130.082000700000010,4223,4.232414522000000,-0.842170438000000,0.000195304000000,238262.527200000010000,3148250.080999999800000
1,1098,6514,102.162002599999990,3952,2.886378629000000,-1.206439418000000,0.000186641000000,239262.527200000010000,3148250.080999999800000
2,1099,6515,73.578697199999993,3689,1.508364388000000,-1.559955071000000,0.000154680000000,240262.527200000010000,3148250.080999999800000
3,1100,6516,83.486396799999994,3112,1.986019123000000,-2.335538841000000,0.000062400000000,241262.527200000010000,3148250.080999999800000
4,1101,6517,107.227996800000000,3135,3.130612529000000,-2.304623024000000,0.000065500000000,242262.527200000010000,3148250.080999999800000
5,1171,6732,86.093498199999999,4113,2.111708675000000,-0.990028696000000,0.000195249000000,236262.527200000010000,3149250.080999999800000
6,1172,6733,95.592399599999993,3370,2.569655061000000,-1.988744019000000,0.000101844000000,237262.527200000010000,3149250.080999999800000
7,1173,6734,112.943000799999990,3499,3.406135489000000,-1.815346607000000,0.000123660000000,238262.527200000010000,3149250.080999999800000
8,1174,6735,105.845001200000000,3098,3.063937678000000,-2.354357165000000,0.000060500000000,239262.527200000010000,3149250.080999999800000
9,1175,6736,90.978897099999998,3008,2.347235993000000,-2.475332103000000,0.000049200000000,240262.527200000010000,3149250.080999999800000
10,1176,6737,99.304298399999993,3075,2.748607401000000,-2.385272983000000,0.000057500000000,241262.527200000010000,3149250.080999999800000
11,1177,6738,115.950996399999990,2757,3.551152334000000,-2.812717764000000,0.000025400000000,242262.527200000010000,3149250.080999999800000
12,1263,6951,49.947700500000003,4310,0.369103217000000,-0.725227997000000,0.000191950000000,234262.527200000010000,3150250.080999999800000
13,1264,6952,65.957901000000007,3886,1.140962314000000,-1.295154373000000,0.000180434000000,235262.527200000010000,3150250.080999999800000
14,1265,6953,96.366500900000005,3488,2.606974839000000,-1.830132433000000,0.000121792000000,236262.527200000010000,3150250.080999999800000
15,1266,6954,76.120101899999995,3763,1.630886673000000,-1.460486789000000,0.000165427000000,237262.527200000010000,3150250.080999999800000
16,1267,6955,80.512100200000006,3559,1.842626922000000,-1.734696648000000,0.000133781000000,238262.527200000010000,3150250.080999999800000
17,1268,6956,91.527397199999996,3131,2.373679434000000,-2.309999688000000,0.000065000000000,239262.527200000010000,3150250.080999999800000
18,1269,6957,88.027000400000006,2953,2.204923701000000,-2.549261232000000,0.000043100000000,240262.527200000010000,3150250.080999999800000
19,1270,6958,94.525299099999998,2786,2.518209657000000,-2.773736951000000,0.000027600000000,241262.527200000010000,3150250.080999999800000
20,1271,6959,88.913902300000004,3470,2.247681648000000,-1.854327421000000,0.000118733000000,242262.527200000010000,3150250.080999999800000
21,1354,7171,51.428398100000003,4810,0.440488326000000,-0.053145007000000,0.000128658000000,233262.527200000010000,3151250.080999999800000
22,1355,7172,54.657600400000000,4851,0.596169648000000,0.001965798000000,0.000121710000000,234262.527200000010000,3151250.080999999800000
23,1356,7173,65.766700700000001,4562,1.131744460000000,-0.386498171000000,0.000167266000000,235262.527200000010000,3151250.080999999800000
24,1357,7174,79.648696900000004,4116,1.801001853000000,-0.985996198000000,0.000195315000000,236262.527200000010000,3151250.080999999800000
25,1358,7175,74.191200300000006,3713,1.537893443000000,-1.527695088000000,0.000158281000000,237262.527200000010000,3151250.080999999800000
26,1359,7176,83.098297099999996,3295,1.967308658000000,-2.089556467000000,0.000089600000000,238262.527200000010000,3151250.080999999800000
27,1360,7177,109.412002599999990,3788,3.235904449000000,-1.426882639000000,0.000168795000000,239262.527200000010000,3151250.080999999800000
28,1361,7178,103.801002500000000,3067,2.965395565000000,-2.396026311000000,0.000056500000000,240262.527200000010000,3151250.080999999800000
29,1362,7180,68.694000200000005,3015,1.272870909000000,-2.465922942000000,0.000050100000000,242262.527200000010000,3151250.080999999800000
30,1449,7390,39.634200999999997,4753,-0.128115316000000,-0.129762468000000,0.000138188000000,231262.527200000010000,3152250.080999999800000
31,1450,7391,46.105400099999997,4997,0.183864155000000,0.198214031000000,0.000097100000000,232262.527200000010000,3152250.080999999800000
32,1451,7392,47.654598200000002,5276,0.258551705000000,0.573236339000000,0.000055900000000,233262.527200000010000,3152250.080999999800000
33,1452,7393,51.837001800000003,5275,0.460187298000000,0.571892173000000,0.000056000000000,234262.527200000010000,3152250.080999999800000
34,1453,7394,48.117298099999999,4783,0.280858679000000,-0.089437489000000,0.000133198000000,235262.527200000010000,3152250.080999999800000
35,1454,7395,52.134399400000000,4566,0.474524972000000,-0.381121507000000,0.000166726000000,236262.527200000010000,3152250.080999999800000
36,1455,7396,68.153198200000006,4078,1.246798597000000,-1.037074505000000,0.000194219000000,237262.527200000010000,3152250.080999999800000
37,1456,7397,83.503898599999999,3755,1.986862892000000,-1.471240116000000,0.000164319000000,238262.527200000010000,3152250.080999999800000
38,1457,7398,102.821998600000000,4311,2.918197339000000,-0.723883831000000,0.000191894000000,239262.527200000010000,3152250.080999999800000
39,1458,7399,88.215499899999998,3802,2.214011348000000,-1.408064315000000,0.000170616000000,240262.527200000010000,3152250.080999999800000
40,1459,7400,74.918602000000007,2971,1.572961812000000,-2.525066245000000,0.000045000000000,241262.527200000010000,3152250.080999999800000
41,1552,7609,53.343299899999998,5211,0.532806619000000,0.485865550000000,0.000064500000000,229262.527200000010000,3153250.080999999800000
42,1553,7610,46.161498999999999,5159,0.186568709000000,0.415968920000000,0.000071800000000,230262.527200000010000,3153250.080999999800000
43,1554,7611,50.598899799999998,5454,0.400497834000000,0.812497884000000,0.000036100000000,231262.527200000010000,3153250.080999999800000
44,1555,7612,48.830699899999999,5535,0.315252107000000,0.921375328000000,0.000029000000000,232262.527200000010000,3153250.080999999800000
45,1556,7613,45.923900600000003,5229,0.175113981000000,0.510060538000000,0.000062000000000,233262.527200000010000,3153250.080999999800000
46,1557,7614,50.189998600000003,5041,0.380784519000000,0.257357334000000,0.000090000000000,234262.527200000010000,3153250.080999999800000
47,1558,7615,41.933399199999997,4441,-0.017269918000000,-0.549142254000000,0.000181618000000,235262.527200000010000,3153250.080999999800000
48,1559,7616,35.852298699999999,4289,-0.310442558000000,-0.753455483000000,0.000193028000000,236262.527200000010000,3153250.080999999800000
49,1560,7617,51.843398999999998,4223,0.460495710000000,-0.842170438000000,0.000195304000000,237262.527200000010000,3153250.080999999800000
50,1561,7618,84.525802600000006,4255,2.036129352000000,-0.799157126000000,0.000194414000000,238262.527200000010000,3153250.080999999800000
51,1562,7619,116.508003200000000,3511,3.578005887000000,-1.799216615000000,0.000125695000000,239262.527200000010000,3153250.080999999800000
52,1563,7620,88.478103599999997,3092,2.226671593000000,-2.362422161000000,0.000059700000000,240262.527200000010000,3153250.080999999800000
53,1659,7829,60.825099899999998,5470,0.893507623000000,0.834004539000000,0.000034600000000,228262.527200000010000,3154250.080999999800000
54,1660,7830,56.471198999999999,5599,0.683604067000000,1.007401951000000,0.000024200000000,229262.527200000010000,3154250.080999999800000
55,1661,7831,46.169601399999998,5323,0.186959330000000,0.636412140000000,0.000050100000000,230262.527200000010000,3154250.080999999800000
56,1662,7832,37.533401499999997,5288,-0.229395822000000,0.589366331000000,0.000054400000000,231262.527200000010000,3154250.080999999800000
57,1663,7833,40.592998500000000,5469,-0.081891250000000,0.832660373000000,0.000034700000000,232262.527200000010000,3154250.080999999800000
58,1664,7834,43.076499900000002,5097,0.037839490000000,0.332630629000000,0.000081100000000,233262.527200000010000,3154250.080999999800000
59,1665,7835,57.512401599999997,4572,0.733800921000000,-0.373056511000000,0.000165909000000,234262.527200000010000,3154250.080999999800000
60,1666,7836,45.190898900000001,4228,0.139775634000000,-0.835449608000000,0.000195192000000,235262.527200000010000,3154250.080999999800000
61,1667,7837,37.548500099999998,4176,-0.228667912000000,-0.905346239000000,0.000195873000000,236262.527200000010000,3154250.080999999800000
62,1668,7838,54.999401100000000,4357,0.612648016000000,-0.662052196000000,0.000188939000000,237262.527200000010000,3154250.080999999800000
63,1669,7839,91.824203499999996,3996,2.387988601000000,-1.147296115000000,0.000189954000000,238262.527200000010000,3154250.080999999800000
64,1670,7840,141.912994400000000,3305,4.802792146000000,-2.076114807000000,0.000091200000000,239262.527200000010000,3154250.080999999800000
65,1671,7841,127.569000200000000,3073,4.111261617000000,-2.387961315000000,0.000057200000000,240262.527200000010000,3154250.080999999800000
66,1672,7842,103.167999300000010,2868,2.934878191000000,-2.663515341000000,0.000034600000000,241262.527200000010000,3154250.080999999800000
67,1770,8048,73.902603099999993,5579,1.523980040000000,0.980518631000000,0.000025600000000,226262.527200000010000,3155250.080999999800000
68,1771,8049,48.845100400000000,5091,0.315946361000000,0.324565633000000,0.000082100000000,227262.527200000010000,3155250.080999999800000
69,1772,8050,42.228900899999999,5008,-0.003023646000000,0.212999857000000,0.000095300000000,228262.527200000010000,3155250.080999999800000
70,1773,8051,42.729198500000003,4914,0.021095930000000,0.086648254000000,0.000111010000000,229262.527200000010000,3155250.080999999800000
71,1774,8052,30.950899100000001,4901,-0.546741277000000,0.069174097000000,0.000113213000000,230262.527200000010000,3155250.080999999800000
72,1775,8053,27.719100999999998,5002,-0.702547743000000,0.204934861000000,0.000096300000000,231262.527200000010000,3155250.080999999800000
73,1776,8054,35.398498500000002,5194,-0.332320473000000,0.463014729000000,0.000066800000000,232262.527200000010000,3155250.080999999800000
74,1777,8055,50.235401199999998,5000,0.382973400000000,0.202246529000000,0.000096600000000,233262.527200000010000,3155250.080999999800000
75,1778,8056,59.853099800000003,4363,0.846647053000000,-0.653987201000000,0.000188497000000,234262.527200000010000,3155250.080999999800000
76,1779,8057,48.007999400000003,3814,0.275589339000000,-1.391934324000000,0.000172137000000,235262.527200000010000,3155250.080999999800000
77,1780,8058,40.304099999999998,3702,-0.095819179000000,-1.542480913000000,0.000156643000000,236262.527200000010000,3155250.080999999800000
78,1781,8059,59.021198300000002,3948,0.806540701000000,-1.211816082000000,0.000186306000000,237262.527200000010000,3155250.080999999800000
79,1782,8060,89.916297900000004,4215,2.296007599000000,-0.852923766000000,0.000195463000000,238262.527200000010000,3155250.080999999800000
80,1783,8061,150.029007000000010,4062,5.194068829000000,-1.058581161000000,0.000193589000000,239262.527200000010000,3155250.080999999800000
