# Session 	ID	Occasion 	X	Y
1	F10	1	229821.8083	3176060.138
1	F10	1	230026.4644	3176398.933
1	F12	1	226288.9999	3180412.887
1	F12	1	226348.2023	3180338.214
1	F12	1	226257.6146	3179976.815
1	F17	1	226356.6724	3180298.772
1	F17	1	223942.4183	3186642.224
1	F02	1	196022.8872	3193043.016
1	F02	1	197322.9263	3193713.193
1	F02	1	197237.1877	3194177.778
1	F24	1	267894.678	3172816.671
1	F25	1	190646.1857	3209556.002
1	F30	1	216176.4973	3232282.249
1	F30	1	215764.499	3231540.146
1	F31	1	209635.7602	3230082.711
1	F31	1	209482.7216	3230007.24
1	F32	1	229943.8015	3176223.009
1	F33	1	209181.1397	3230091.205
1	F33	1	208197.7284	3233992.165
1	F33	1	215334.5677	3231598.168
1	F34	1	212616.8562	3175636.507
1	F34	1	225081.2298	3184472.035
1	F05	1	174032.2172	3202002.404
1	F05	1	171447.9533	3201788.21
1	F05	1	170456.3058	3201593.776
1	F07	1	205712.8442	3176117.523
1	F07	1	205696.1374	3176165.343
1	F07	1	204528.3887	3179733.793
1	F07	1	202140.7348	3182122.088
1	F07	1	204092.1284	3183031.355
1	F07	1	204339.7731	3180710.534
1	F09	1	187006.4236	3185597.143
1	F09	1	196864.8118	3193493.349
1	M29	1	203678.4387	3181692.684
1	M01	1	229464.0679	3174531.309
1	M01	1	231937.8093	3177220.74
1	M01	1	230475.6147	3177016.23
1	M01	1	233959.6941	3179204.896
1	M01	1	232671.6556	3180176.725
1	M01	1	232644.4411	3180135.603
1	M11	1	209048.9695	3231111.1
1	M11	1	209061.2259	3231147.774
1	M11	1	219315.6019	3232553.266
1	M13	1	208798.1387	3229768.842
1	M13	1	211435.6804	3235433.525
1	M13	1	212108.4788	3235918.488
1	M13	1	213323.6907	3236336.798
1	M13	1	212526.9668	3232980.012
1	M14	1	198170.7917	3193426.262
1	M15	1	190477.2229	3209203.723
1	M15	1	190453.3447	3209028.598
1	M16	1	233558.2416	3185615.648
1	M16	1	225864.2888	3183977.93
1	M18	1	212170.3302	3235978.435
1	M18	1	207027.1606	3230913.407
1	M19	1	226712.3889	3211497.402
1	M19	1	227006.6065	3211550.125
1	M20	1	213500.5666	3231656.71
1	M21	1	233064.3204	3186199.659
1	M22	1	233191.1968	3185137.544
1	M23	1	269296.9897	3172566.477
1	M23	1	253249.3038	3175354.841
1	M26	1	196558.4007	3193490.435
1	M27	1	205255.7839	3178350.05
1	M28	1	195817.1282	3227141.201
1	M03	1	174046.4123	3201996.893
1	M03	1	176285.9296	3201066.496
1	M03	1	171291.7151	3201800.201
1	M03	1	172899.5738	3202011.92
1	M03	1	170770.2277	3201656.381
1	M03	1	169995.4802	3201563.918
1	M03	1	170776.7137	3202055.956
1	M04	1	205607.9914	3176221.739
1	M04	1	204826.4171	3179113.823
1	M04	1	204016.299	3183799.633
1	M04	1	204307.6175	3180419.654
1	M04	1	203888.5025	3180260.633
1	M06	1	216578.3791	3175264.613
1	M06	1	218879.8426	3173243.144
1	M08	1	182596.1192	3197033.942
1	M08	1	177910.4729	3201328.327
