FID,FID_,Field1,Rgd,Alt,StdRgd,StdAlt,D_0,x,y
0,484,4362,64.980300900000003,2893,1.093831766000000,-2.629911191000000,0.000037000000000,297262.527200000010000,3138250.080999999800000
1,526,4561,55.871398900000003,5025,0.654687429000000,0.235850678000000,0.000092500000000,275262.527200000010000,3139250.080999999800000
2,527,4562,45.945900000000002,4708,0.176174583000000,-0.190249937000000,0.000145523000000,276262.527200000010000,3139250.080999999800000
3,528,4563,52.496799500000002,4643,0.491996447000000,-0.277620726000000,0.000155667000000,277262.527200000010000,3139250.080999999800000
4,538,4573,57.845901499999997,3078,0.749879104000000,-2.381240485000000,0.000057900000000,287262.527200000010000,3139250.080999999800000
5,539,4574,56.360298200000003,2970,0.678257488000000,-2.526410411000000,0.000044900000000,288262.527200000010000,3139250.080999999800000
6,540,4575,62.103099800000003,2824,0.955120583000000,-2.722658644000000,0.000030700000000,289262.527200000010000,3139250.080999999800000
7,541,4581,66.434501600000004,2969,1.163939447000000,-2.527754577000000,0.000044800000000,295262.527200000010000,3139250.080999999800000
8,542,4584,66.523498500000002,2867,1.168230028000000,-2.664859507000000,0.000034500000000,298262.527200000010000,3139250.080999999800000
9,543,4585,66.657798799999995,3424,1.174704707000000,-1.916159056000000,0.000110923000000,299262.527200000010000,3139250.080999999800000
10,544,4586,61.013198899999999,4037,0.902575962000000,-1.092185310000000,0.000192406000000,300262.527200000010000,3139250.080999999800000
11,582,4781,87.091201799999993,5455,2.159808422000000,0.813842050000000,0.000036000000000,274262.527200000010000,3140250.080999999800000
12,583,4782,61.250598900000000,4542,0.914021124000000,-0.413381490000000,0.000169908000000,275262.527200000010000,3140250.080999999800000
13,584,4783,38.983001700000003,4270,-0.159509933000000,-0.778994637000000,0.000193858000000,276262.527200000010000,3140250.080999999800000
14,585,4784,46.826599100000003,4507,0.218633489000000,-0.460427299000000,0.000174290000000,277262.527200000010000,3140250.080999999800000
15,586,4785,51.845199600000001,4727,0.460582518000000,-0.164710784000000,0.000142452000000,278262.527200000010000,3140250.080999999800000
16,587,4786,57.998600000000003,5359,0.757240768000000,0.684802116000000,0.000046000000000,279262.527200000010000,3140250.080999999800000
17,589,4788,43.141700700000001,4932,0.040982850000000,0.110843242000000,0.000107968000000,281262.527200000010000,3140250.080999999800000
18,590,4789,36.864700300000003,4670,-0.261634213000000,-0.241328245000000,0.000151530000000,282262.527200000010000,3140250.080999999800000
19,591,4790,44.327499400000001,4200,0.098150749000000,-0.873086255000000,0.000195693000000,283262.527200000010000,3140250.080999999800000
20,592,4791,45.728801699999998,4205,0.165708174000000,-0.866365425000000,0.000195627000000,284262.527200000010000,3140250.080999999800000
21,593,4792,57.432998699999999,3791,0.729972871000000,-1.422850141000000,0.000169189000000,285262.527200000010000,3140250.080999999800000
22,594,4793,62.839401199999998,3714,0.990618011000000,-1.526350922000000,0.000158429000000,286262.527200000010000,3140250.080999999800000
23,595,4794,61.566398599999999,3864,0.929245973000000,-1.324726025000000,0.000178058000000,287262.527200000010000,3140250.080999999800000
24,596,4795,59.617599499999997,3438,0.835293476000000,-1.897340732000000,0.000113296000000,288262.527200000010000,3140250.080999999800000
25,597,4796,58.358398399999999,3121,0.774586814000000,-2.323441348000000,0.000063600000000,289262.527200000010000,3140250.080999999800000
26,598,4797,53.637298600000001,3265,0.546980431000000,-2.129881447000000,0.000084800000000,290262.527200000010000,3140250.080999999800000
27,599,4803,58.853500400000001,2885,0.798455908000000,-2.640664519000000,0.000036200000000,296262.527200000010000,3140250.080999999800000
28,600,4804,63.810001399999997,3434,1.037411091000000,-1.902717396000000,0.000112618000000,297262.527200000010000,3140250.080999999800000
29,601,4805,66.394699099999997,3138,1.162020550000000,-2.300590526000000,0.000065900000000,298262.527200000010000,3140250.080999999800000
30,602,4806,63.755298600000003,3607,1.034773844000000,-1.670176681000000,0.000141717000000,299262.527200000010000,3140250.080999999800000
31,603,4807,51.660198200000004,3864,0.451663515000000,-1.324726025000000,0.000178058000000,300262.527200000010000,3140250.080999999800000
32,604,4808,45.058101700000002,4310,0.133373420000000,-0.725227997000000,0.000191950000000,301262.527200000010000,3140250.080999999800000
33,605,4809,56.119800599999998,4716,0.666662989000000,-0.179496610000000,0.000144235000000,302262.527200000010000,3140250.080999999800000
34,639,5001,88.971496599999995,5896,2.250458295000000,1.406619247000000,0.000009250000000,273262.527200000010000,3141250.080999999800000
35,640,5002,77.666603100000003,5263,1.705444203000000,0.555762181000000,0.000057600000000,274262.527200000010000,3141250.080999999800000
36,641,5003,55.619899699999998,4432,0.642562538000000,-0.561239748000000,0.000182515000000,275262.527200000010000,3141250.080999999800000
37,642,5004,30.149700200000002,4027,-0.585367443000000,-1.105626970000000,0.000191866000000,276262.527200000010000,3141250.080999999800000
38,643,5005,31.095300699999999,4078,-0.539779609000000,-1.037074505000000,0.000194219000000,277262.527200000010000,3141250.080999999800000
39,644,5006,49.599899299999997,4258,0.352335562000000,-0.795124628000000,0.000194309000000,278262.527200000010000,3141250.080999999800000
40,645,5007,66.703796400000002,4830,1.176922273000000,-0.026261688000000,0.000125274000000,279262.527200000010000,3141250.080999999800000
41,646,5008,65.582199099999997,5445,1.122849553000000,0.800400390000000,0.000037000000000,280262.527200000010000,3141250.080999999800000
42,647,5009,42.502601599999998,4936,0.010171590000000,0.116219906000000,0.000107294000000,281262.527200000010000,3141250.080999999800000
43,648,5010,34.033698999999999,4657,-0.398118082000000,-0.258802402000000,0.000153537000000,282262.527200000010000,3141250.080999999800000
