#PolyID	X	Y
T001	218332.7362	3237204.051
T001	217651.7537	3238843.232
T002	218103.8445	3239851.824
T002	217850.1651	3240013.048
T003	218693.6537	3240877.703
T003	217965.4127	3240355.443
T004	217273.8761	3242469.838
T004	217925.3472	3240648.343
T005	217597.9901	3243999.138
T005	217071.665	3242721.989
T006	216951.2113	3241397.953
T006	216727.9379	3242994.207
T007	216382.5824	3240272.68
T007	216592.3056	3241674.192
T008	215405.6839	3240230.387
T008	215586.2803	3241453.733
T009	214696.1709	3243405.229
T009	215729.2571	3243000.716
T010	215429.0549	3241734.162
T010	214784.5338	3243143.248
T011	212686.916	3240853.761
T011	215166.3134	3241426.143
T012	217620.5016	3238839.222
T012	216690.0374	3240134.413
T013	217544.7817	3240412.607
T013	216624.3689	3240362.243
T014	215785.7651	3243012.558
T014	216599.9862	3243331.283
T015	207505.5979	3231954.296
T015	205950.3456	3232457.437
T016	207429.503	3231327.346
T016	207576.0435	3231912.597
T017	206565.5981	3230676.749
T017	207027.1606	3230913.407
T018	207104.2572	3229702.932
T018	206541.856	3230233.87
T019	207599.3471	3229237.906
T019	207213.3412	3229687.972
T020	207213.3304	3228797.437
T020	207635.6984	3229162.059
T021	208207.4475	3228587.808
T021	207862.8446	3227941.788
T022	208142.3881	3229565.705
T022	208126.0001	3228746.899
T023	208150.1479	3229717.721
T023	207285.197	3230629.402
T024	209939.0014	3229837.634
T024	209635.7602	3230082.711
T024	209482.7216	3230007.24
T024	209181.1397	3230091.205
T024	208798.1387	3229768.842
T025	207536.2736	3230562.033
T025	208305.5311	3230421.809
T026	208374.7344	3230458.786
T026	208958.1964	3230970.864
T027	209002.6063	3231016.573
T027	209048.9695	3231111.1
T027	209061.2259	3231147.774
T028	214380.6875	3231531.664
T028	212526.9668	3232980.012
T028	213500.5666	3231656.71
T029	208171.4764	3233967.988
T029	208197.7284	3233992.165
T030	209441.9387	3234831.029
T030	211435.6804	3235433.525
T030	212108.4788	3235918.488
T030	213323.6907	3236336.798
T030	212170.3302	3235978.435
T031	213401.8132	3236295.316
T031	213636.1396	3236422.333
T032	195231.4155	3226373.219
T032	196343.7709	3223362.743
T033	196729.5837	3224507.099
T033	195868.5143	3226132.813
T034	195836.6428	3227154.679
T034	195817.1282	3227141.201
T035	196288.9156	3226447.069
T035	196733.3879	3225903.779
T036	195771.8641	3226320.323
T036	195664.279	3226655.933
T037	195699.1418	3226706.242
T037	195663.1849	3227069.888
T038	195668.5715	3226674.955
T038	195919.1592	3226651.114
T039	195543.5343	3218293.809
T039	194235.0018	3216325.429
T040	195251.9734	3218827.595
T040	193701.5174	3219099.862
T041	192202.7306	3219316.327
T041	193595.1328	3219055.735
T042	192081.0822	3219436.814
T042	190570.2605	3219652.687
T043	192261.3963	3220206.331
T043	195030.4156	3219946.981
T044	194725.0037	3221305.998
T044	193222.241	3220293.692
T045	181748.5737	3200134.782
T045	179811.9996	3201168.511
T046	179076.9732	3201633.111
