FID,Field1,x,y,Rgd,Alt
157,2827,309262.527200000010000,3131250.080999999800000,37.5825005,4232.0000000
158,2828,310262.527200000010000,3131250.080999999800000,46.9352989,3967.0000000
159,2829,311262.527200000010000,3131250.080999999800000,62.4919014,3566.0000000
160,2830,312262.527200000010000,3131250.080999999800000,64.8357010,3458.0000000
161,2831,313262.527200000010000,3131250.080999999800000,61.8390999,3658.0000000
162,2832,314262.527200000010000,3131250.080999999800000,48.5153999,4117.0000000
163,2833,315262.527200000010000,3131250.080999999800000,49.8581009,4624.0000000
164,2834,316262.527200000010000,3131250.080999999800000,56.5106010,4905.0000000
165,2835,317262.527200000010000,3131250.080999999800000,60.1897011,5010.0000000
166,2836,318262.527200000010000,3131250.080999999800000,51.9665985,5275.0000000
167,2837,319262.527200000010000,3131250.080999999800000,52.2980995,5271.0000000
168,2838,320262.527200000010000,3131250.080999999800000,41.1876984,4743.0000000
169,2839,321262.527200000010000,3131250.080999999800000,46.1465988,4868.0000000
170,2840,322262.527200000010000,3131250.080999999800000,47.6455994,4866.0000000
171,2841,323262.527200000010000,3131250.080999999800000,49.1515999,4335.0000000
172,2842,324262.527200000010000,3131250.080999999800000,45.7308998,4019.0000000
173,2843,325262.527200000010000,3131250.080999999800000,36.6833000,3924.0000000
174,2844,326262.527200000010000,3131250.080999999800000,43.4569016,3951.0000000
175,2845,327262.527200000010000,3131250.080999999800000,44.5525017,3836.0000000
176,2846,328262.527200000010000,3131250.080999999800000,55.9292984,4013.0000000
177,2847,329262.527200000010000,3131250.080999999800000,58.7869987,4087.0000000
178,2848,330262.527200000010000,3131250.080999999800000,50.0625992,4575.0000000
179,2849,331262.527200000010000,3131250.080999999800000,61.2276001,4030.0000000
180,2850,332262.527200000010000,3131250.080999999800000,61.4870987,3320.0000000
181,2851,333262.527200000010000,3131250.080999999800000,61.5587997,3228.0000000
182,3028,289262.527200000010000,3132250.080999999800000,59.4884987,3077.0000000
183,3029,290262.527200000010000,3132250.080999999800000,60.0922012,3302.0000000
184,3037,298262.527200000010000,3132250.080999999800000,76.0317001,3036.0000000
185,3038,299262.527200000010000,3132250.080999999800000,68.6181030,3164.0000000
186,3039,300262.527200000010000,3132250.080999999800000,68.9434967,3475.0000000
187,3040,301262.527200000010000,3132250.080999999800000,73.1110992,3464.0000000
188,3041,302262.527200000010000,3132250.080999999800000,70.6859970,3031.0000000
189,3042,303262.527200000010000,3132250.080999999800000,68.8981018,3078.0000000
190,3043,304262.527200000010000,3132250.080999999800000,68.0260010,3296.0000000
191,3044,305262.527200000010000,3132250.080999999800000,68.9182968,3861.0000000
192,3045,306262.527200000010000,3132250.080999999800000,77.1001968,4319.0000000
193,3046,307262.527200000010000,3132250.080999999800000,74.6311035,5110.0000000
194,3047,308262.527200000010000,3132250.080999999800000,46.0057983,4719.0000000
195,3048,309262.527200000010000,3132250.080999999800000,40.6018982,4306.0000000
196,3049,310262.527200000010000,3132250.080999999800000,46.5642014,3854.0000000
197,3050,311262.527200000010000,3132250.080999999800000,52.8039017,3755.0000000
198,3051,312262.527200000010000,3132250.080999999800000,57.0070000,3709.0000000
199,3052,313262.527200000010000,3132250.080999999800000,54.5195999,3800.0000000
200,3053,314262.527200000010000,3132250.080999999800000,45.7080002,4378.0000000
201,3054,315262.527200000010000,3132250.080999999800000,43.5662994,4736.0000000
202,3055,316262.527200000010000,3132250.080999999800000,60.2472992,5235.0000000
203,3056,317262.527200000010000,3132250.080999999800000,61.2190018,5836.0000000
204,3057,318262.527200000010000,3132250.080999999800000,48.3396988,5502.0000000
205,3058,319262.527200000010000,3132250.080999999800000,42.2405014,5122.0000000
206,3059,320262.527200000010000,3132250.080999999800000,41.1747017,4651.0000000
207,3060,321262.527200000010000,3132250.080999999800000,39.9989014,4674.0000000
208,3061,322262.527200000010000,3132250.080999999800000,43.4678993,4457.0000000
209,3062,323262.527200000010000,3132250.080999999800000,48.6040001,4243.0000000
210,3063,324262.527200000010000,3132250.080999999800000,42.3298988,4473.0000000
211,3064,325262.527200000010000,3132250.080999999800000,39.9216003,4306.0000000
212,3065,326262.527200000010000,3132250.080999999800000,41.3347015,4265.0000000
213,3066,327262.527200000010000,3132250.080999999800000,45.8030014,4126.0000000
214,3067,328262.527200000010000,3132250.080999999800000,53.8930016,3838.0000000
215,3068,329262.527200000010000,3132250.080999999800000,52.9807014,4318.0000000
216,3069,330262.527200000010000,3132250.080999999800000,49.2910004,4291.0000000
217,3070,331262.527200000010000,3132250.080999999800000,54.6290016,3834.0000000
218,3071,332262.527200000010000,3132250.080999999800000,57.7681999,3433.0000000
219,3072,333262.527200000010000,3132250.080999999800000,61.1547012,2929.0000000
220,3073,334262.527200000010000,3132250.080999999800000,63.2528000,2946.0000000
221,3074,335262.527200000010000,3132250.080999999800000,61.1170006,3133.0000000
222,3243,283262.527200000010000,3133250.080999999800000,48.1523018,3597.0000000
223,3244,284262.527200000010000,3133250.080999999800000,50.3622017,3067.0000000
224,3245,285262.527200000010000,3133250.080999999800000,53.7103996,2805.0000000
225,3246,286262.527200000010000,3133250.080999999800000,56.4729996,2903.0000000
226,3247,287262.527200000010000,3133250.080999999800000,55.6185989,2895.0000000
227,3248,288262.527200000010000,3133250.080999999800000,54.7753983,3008.0000000
228,3249,289262.527200000010000,3133250.080999999800000,47.9995003,3467.0000000
229,3250,290262.527200000010000,3133250.080999999800000,46.6119003,3309.0000000
230,3251,291262.527200000010000,3133250.080999999800000,59.2966995,2901.0000000
231,3258,298262.527200000010000,3133250.080999999800000,75.3806000,3032.0000000
232,3259,299262.527200000010000,3133250.080999999800000,71.9860992,3430.0000000
233,3260,300262.527200000010000,3133250.080999999800000,68.2260971,3779.0000000
234,3261,301262.527200000010000,3133250.080999999800000,75.0086975,4241.0000000
235,3262,302262.527200000010000,3133250.080999999800000,71.1083984,3403.0000000
236,3263,303262.527200000010000,3133250.080999999800000,67.3807983,3740.0000000
237,3264,304262.527200000010000,3133250.080999999800000,67.5399017,3136.0000000
238,3265,305262.527200000010000,3133250.080999999800000,65.5307007,3452.0000000
239,3266,306262.527200000010000,3133250.080999999800000,70.9719009,3926.0000000
240,3267,307262.527200000010000,3133250.080999999800000,77.5516968,4801.0000000
241,3268,308262.527200000010000,3133250.080999999800000,56.9323006,5107.0000000
242,3269,309262.527200000010000,3133250.080999999800000,49.3400993,4564.0000000
243,3270,310262.527200000010000,3133250.080999999800000,49.2064018,4347.0000000
244,3271,311262.527200000010000,3133250.080999999800000,48.9598007,4165.0000000
245,3272,312262.527200000010000,3133250.080999999800000,47.6239014,4209.0000000
246,3273,313262.527200000010000,3133250.080999999800000,47.5658989,4232.0000000
247,3274,314262.527200000010000,3133250.080999999800000,50.3065987,4221.0000000
248,3275,315262.527200000010000,3133250.080999999800000,58.7863007,4839.0000000
249,3276,316262.527200000010000,3133250.080999999800000,64.9095993,5640.0000000
250,3277,317262.527200000010000,3133250.080999999800000,50.7981987,5632.0000000
251,3278,318262.527200000010000,3133250.080999999800000,42.8438988,5072.0000000
252,3279,319262.527200000010000,3133250.080999999800000,43.1967010,4861.0000000
253,3280,320262.527200000010000,3133250.080999999800000,48.6740990,5137.0000000
254,3281,321262.527200000010000,3133250.080999999800000,49.2672005,5076.0000000
255,3282,322262.527200000010000,3133250.080999999800000,51.6383018,4803.0000000
256,3283,323262.527200000010000,3133250.080999999800000,54.8190994,4942.0000000
257,3284,324262.527200000010000,3133250.080999999800000,45.9348984,4893.0000000
258,3285,325262.527200000010000,3133250.080999999800000,46.1757011,4791.0000000
259,3286,326262.527200000010000,3133250.080999999800000,47.0051003,4540.0000000
260,3287,327262.527200000010000,3133250.080999999800000,52.8250008,4211.0000000
261,3288,328262.527200000010000,3133250.080999999800000,54.1286011,4245.0000000
262,3289,329262.527200000010000,3133250.080999999800000,46.1815987,4643.0000000
263,3290,330262.527200000010000,3133250.080999999800000,47.3390007,4268.0000000
264,3291,331262.527200000010000,3133250.080999999800000,47.3903008,3763.0000000
265,3292,332262.527200000010000,3133250.080999999800000,55.3586998,3297.0000000
266,3293,333262.527200000010000,3133250.080999999800000,58.3777008,3230.0000000
267,3294,334262.527200000010000,3133250.080999999800000,58.0628014,3746.0000000
268,3295,335262.527200000010000,3133250.080999999800000,50.9715004,3227.0000000
269,3462,281262.527200000010000,3134250.080999999800000,50.6041985,3822.0000000
270,3463,282262.527200000010000,3134250.080999999800000,48.0280991,4276.0000000
271,3464,283262.527200000010000,3134250.080999999800000,42.3619003,3759.0000000
272,3465,284262.527200000010000,3134250.080999999800000,45.6571007,3502.0000000
273,3466,285262.527200000010000,3134250.080999999800000,55.6158981,3270.0000000
274,3467,286262.527200000010000,3134250.080999999800000,57.6957016,3552.0000000
275,3468,287262.527200000010000,3134250.080999999800000,53.7416992,3422.0000000
276,3469,288262.527200000010000,3134250.080999999800000,53.1590996,3654.0000000
277,3470,289262.527200000010000,3134250.080999999800000,50.4794998,3595.0000000
278,3471,290262.527200000010000,3134250.080999999800000,49.4360008,3493.0000000
279,3472,291262.527200000010000,3134250.080999999800000,53.7467003,3408.0000000
280,3473,292262.527200000010000,3134250.080999999800000,61.8217010,2766.0000000
281,3479,298262.527200000010000,3134250.080999999800000,65.9124985,3431.0000000
282,3480,299262.527200000010000,3134250.080999999800000,65.3501968,3605.0000000
283,3481,300262.527200000010000,3134250.080999999800000,64.9539032,4012.0000000
284,3482,301262.527200000010000,3134250.080999999800000,71.0775986,4426.0000000
285,3483,302262.527200000010000,3134250.080999999800000,66.1179962,4079.0000000
286,3484,303262.527200000010000,3134250.080999999800000,67.7002029,4241.0000000
287,3485,304262.527200000010000,3134250.080999999800000,66.7945023,3503.0000000
288,3486,305262.527200000010000,3134250.080999999800000,64.7646027,4079.0000000
289,3487,306262.527200000010000,3134250.080999999800000,66.3526001,3956.0000000
290,3488,307262.527200000010000,3134250.080999999800000,72.7088013,4676.0000000
291,3489,308262.527200000010000,3134250.080999999800000,69.6849976,5582.0000000
292,3490,309262.527200000010000,3134250.080999999800000,59.9039993,5159.0000000
293,3491,310262.527200000010000,3134250.080999999800000,53.1889000,4742.0000000
294,3492,311262.527200000010000,3134250.080999999800000,50.5325012,4718.0000000
295,3493,312262.527200000010000,3134250.080999999800000,50.5621986,4822.0000000
296,3494,313262.527200000010000,3134250.080999999800000,55.1768990,4449.0000000
297,3495,314262.527200000010000,3134250.080999999800000,66.7347031,4492.0000000
298,3496,315262.527200000010000,3134250.080999999800000,79.6957016,5358.0000000
299,3498,317262.527200000010000,3134250.080999999800000,51.7508011,5578.0000000
300,3499,318262.527200000010000,3134250.080999999800000,60.4944000,5505.0000000
301,3500,319262.527200000010000,3134250.080999999800000,67.7180023,5355.0000000
302,3501,320262.527200000010000,3134250.080999999800000,68.4275970,5799.0000000
303,3502,321262.527200000010000,3134250.080999999800000,58.4077988,5559.0000000
304,3503,322262.527200000010000,3134250.080999999800000,60.6898994,5591.0000000
305,3504,323262.527200000010000,3134250.080999999800000,53.8975983,5193.0000000
306,3505,324262.527200000010000,3134250.080999999800000,52.0583992,4659.0000000
307,3506,325262.527200000010000,3134250.080999999800000,46.4014015,4262.0000000
308,3507,326262.527200000010000,3134250.080999999800000,43.8646011,3907.0000000
309,3508,327262.527200000010000,3134250.080999999800000,50.9592018,3994.0000000
310,3509,328262.527200000010000,3134250.080999999800000,52.0321007,4613.0000000
311,3510,329262.527200000010000,3134250.080999999800000,45.6614990,4500.0000000
312,3511,330262.527200000010000,3134250.080999999800000,46.9113007,4172.0000000
313,3512,331262.527200000010000,3134250.080999999800000,53.5461006,3660.0000000
314,3513,332262.527200000010000,3134250.080999999800000,58.2332001,3670.0000000
315,3514,333262.527200000010000,3134250.080999999800000,56.0657005,3737.0000000
316,3515,334262.527200000010000,3134250.080999999800000,57.2643013,3306.0000000
317,3516,335262.527200000010000,3134250.080999999800000,63.0765991,2911.0000000
318,3519,338262.527200000010000,3134250.080999999800000,65.1798019,2957.0000000
319,3681,279262.527200000010000,3135250.080999999800000,53.8884010,4257.0000000
320,3682,280262.527200000010000,3135250.080999999800000,52.7529984,3727.0000000
321,3683,281262.527200000010000,3135250.080999999800000,51.5728989,4051.0000000
322,3684,282262.527200000010000,3135250.080999999800000,45.1985016,4385.0000000
323,3685,283262.527200000010000,3135250.080999999800000,43.8484001,4054.0000000
324,3686,284262.527200000010000,3135250.080999999800000,47.8204002,3976.0000000
325,3687,285262.527200000010000,3135250.080999999800000,58.2938995,3924.0000000
326,3688,286262.527200000010000,3135250.080999999800000,58.7237015,3939.0000000
327,3689,287262.527200000010000,3135250.080999999800000,55.7228012,3483.0000000
328,3690,288262.527200000010000,3135250.080999999800000,53.8928986,3065.0000000
329,3691,289262.527200000010000,3135250.080999999800000,54.5862999,2936.0000000
330,3692,290262.527200000010000,3135250.080999999800000,61.0325012,3269.0000000
331,3693,291262.527200000010000,3135250.080999999800000,58.9247017,2870.0000000
332,3694,292262.527200000010000,3135250.080999999800000,54.3851013,2899.0000000
333,3700,298262.527200000010000,3135250.080999999800000,61.0565987,2909.0000000
334,3701,299262.527200000010000,3135250.080999999800000,63.8338013,3090.0000000
335,3702,300262.527200000010000,3135250.080999999800000,66.4130020,3517.0000000
336,3703,301262.527200000010000,3135250.080999999800000,69.5309982,3988.0000000
337,3704,302262.527200000010000,3135250.080999999800000,66.3962021,4361.0000000
338,3705,303262.527200000010000,3135250.080999999800000,66.5701981,4557.0000000
339,3706,304262.527200000010000,3135250.080999999800000,63.4571991,3803.0000000
340,3707,305262.527200000010000,3135250.080999999800000,51.4654999,4365.0000000
341,3708,306262.527200000010000,3135250.080999999800000,64.6694031,4680.0000000
342,3709,307262.527200000010000,3135250.080999999800000,77.2678986,4948.0000000
343,3710,308262.527200000010000,3135250.080999999800000,65.0858002,5843.0000000
344,3711,309262.527200000010000,3135250.080999999800000,56.7538986,5605.0000000
345,3712,310262.527200000010000,3135250.080999999800000,61.8970985,5317.0000000
346,3713,311262.527200000010000,3135250.080999999800000,58.4458008,5338.0000000
347,3714,312262.527200000010000,3135250.080999999800000,57.8177986,5378.0000000
348,3715,313262.527200000010000,3135250.080999999800000,64.3034973,5272.0000000
349,3716,314262.527200000010000,3135250.080999999800000,75.5540009,5227.0000000
350,3717,315262.527200000010000,3135250.080999999800000,90.6908035,5949.0000000
351,3718,316262.527200000010000,3135250.080999999800000,72.9974976,5994.0000000
352,3723,321262.527200000010000,3135250.080999999800000,68.0528030,5660.0000000
353,3724,322262.527200000010000,3135250.080999999800000,55.3429985,5053.0000000
354,3725,323262.527200000010000,3135250.080999999800000,50.0121002,4709.0000000
355,3726,324262.527200000010000,3135250.080999999800000,45.9159012,4290.0000000
356,3727,325262.527200000010000,3135250.080999999800000,46.3814011,3933.0000000
357,3728,326262.527200000010000,3135250.080999999800000,43.0526009,4170.0000000
358,3729,327262.527200000010000,3135250.080999999800000,53.0518990,4478.0000000
359,3730,328262.527200000010000,3135250.080999999800000,54.8240013,4874.0000000
360,3731,329262.527200000010000,3135250.080999999800000,48.9227982,4224.0000000
361,3732,330262.527200000010000,3135250.080999999800000,47.1570015,3866.0000000
362,3733,331262.527200000010000,3135250.080999999800000,58.7988014,3963.0000000
363,3734,332262.527200000010000,3135250.080999999800000,59.3866005,4407.0000000
364,3735,333262.527200000010000,3135250.080999999800000,52.5471992,3827.0000000
365,3736,334262.527200000010000,3135250.080999999800000,62.3562012,3812.0000000
366,3737,335262.527200000010000,3135250.080999999800000,67.8593979,3473.0000000
367,3738,336262.527200000010000,3135250.080999999800000,65.3877029,2964.0000000
368,3741,339262.527200000010000,3135250.080999999800000,65.8132019,3187.0000000
369,3742,340262.527200000010000,3135250.080999999800000,60.3620987,3956.0000000
370,3901,278262.527200000010000,3136250.080999999800000,52.8769989,3696.0000000
371,3902,279262.527200000010000,3136250.080999999800000,58.9654999,4554.0000000
372,3903,280262.527200000010000,3136250.080999999800000,50.5181999,3784.0000000
373,3904,281262.527200000010000,3136250.080999999800000,48.1314011,4354.0000000
374,3905,282262.527200000010000,3136250.080999999800000,46.4137993,4623.0000000
375,3906,283262.527200000010000,3136250.080999999800000,48.7895012,4486.0000000
