#ID,X,Y,/,Effort,Rgd
TostSLT006,632706.0195,4778936.777,/,111,51.93264771
TostSLT019,636021.798,4780144.324,/,111,66.14378357
TostSLT035,627435.7052,4777608.495,/,113,44.68780518
TostSLT037,637807.9759,4786073.048,/,112,67.19374847
TostSLT018,630428.78,4777095.25,/,118,40.98780441
TostSLT016,645666.9474,4783490.499,/,115,49.33558655
TostSLT036,641043.4293,4780209.897,/,116,74.30342865
TostSLT101,630316.2736,4781951.277,/,123,64.39720154
TostSLT034,625204.5293,4780908.741,/,112,45.23273087
TostSLT033,624047.3018,4778150.262,/,119,65.64297485
TostSLT024,645765.2428,4780153.863,/,112,49.0917511
TostSLT029,649006.9571,4780135.192,/,107,38.05259705
TostSLT040,651589.6022,4778486.695,/,114,72.49137878
TostSLT009,649597.8285,4776822.679,/,103,106.193222
TostSLT022,645967.0394,4776619.471,/,114,71.88880157
TostSLT032,617691.9321,4784643.799,/,65,46.84015274
TostSLT011,619235.8337,4776852.336,/,110,48.07286072
TostSLT015,629351.8749,4791345.998,/,102,59.42221832
TostSLT021,614960.1243,4777460.891,/,107,44.83302307
TostSLT014,603942.7749,4774276.924,/,104,27.12932014
TostSLT104,635280.1868,4777026.569,/,115,66.603302
TostSLT003,613134.2732,4786335.972,/,110,33.54101944
TostSLT012,634034.2081,4793235.649,/,109,90.10549164
TostSLT020,631573.4078,4790375.53,/,103,37.24245071
TostSLT023,647597.3403,4797696.358,/,111,19.23538399
TostSLT028,648263.3037,4794253.146,/,91,29.27456284
TostSLT027,643920.6003,4791126.276,/,72,61.07372665
TostSLT017,635780.6376,4794024.795,/,89,51.12729263
TostSLT001,641240.8144,4790506.631,/,104,64.05466461
TostSLT030,632284.2264,4781261.591,/,122,35.08560944
TostSLT007,606967.7549,4789725.138,/,86,25.3771553
TostSLT031,607668.2519,4787844.478,/,102,48.53864288
TostSLT103,610347.4634,4787656.451,/,102,75.31268311
TostSLT039,609563.3585,4789688.804,/,102,57.33236313
TostSLT008,659047.476,4773985.54,/,102,54.30469513
TostSLT025,665714.0264,4776415.626,/,102,91.94020081
TostSLT002,631345.0936,4781344.489,/,103,81.67619324
TostSLT005,628775.2306,4780165.522,/,102,44.84417343
TostSLT026,589888.8505,4783075.06,/,102,14.6287384
TostSLT102,630425.0274,4782682.149,/,102,58.65151215
NoyonSLT035,704393.7885,4778480.042,/,91,20.2147007
NoyonSLT027,746665.2259,4779338.501,/,88,8.3117304
NoyonSLT033,735886.8731,4788699.351,/,88,7.48174
NoyonSLT107,722714.1753,4792665.671,/,89,11.6861
NoyonSLT108,713576.2115,4786070.534,/,90,12.2320004
NoyonSLT024,718003.3436,4784187.073,/,88,11.9937
NoyonSLT020,707048.1213,4787718.371,/,87,16.0562
NoyonSLT016,727458.2659,4783012.233,/,91,8.3252401
NoyonSLT006,716211.3914,4794681.175,/,90,12.8013
NoyonSLT025,711104.4206,4795797.736,/,90,14.2848997
NoyonSLT037,730140.7825,4773841.843,/,90,7.4882698
NoyonSLT105a,734906.0466,4774184.605,/,90,3.3761499
NoyonSLT041,739874.9413,4768407.162,/,90,4.9391999
NoyonSLT040,730601.4814,4770396.3,/,92,10.6897001
NoyonSLT022,727135.9548,4775983.803,/,89,6.8218598
NoyonSLT009,723394.5992,4775473.289,/,90,12.0167999
NoyonSLT019,754660.3703,4776247.751,/,88,10.4362001
NoyonSLT039,755857.543,4770054.178,/,90,11.9169998
NoyonSLT023,748101.7307,4775107.049,/,90,4.74156
NoyonSLT104,733896.9835,4770075.837,/,91,8.1658096
NoyonSLT015,726962.225,4771825.377,/,91,13.7279997
NoyonSLT034,751521.1546,4773001.498,/,91,7.4780598
NoyonSLT105,746380.5287,4771307.498,/,91,5.0511799
NoyonSLT007,743015.6772,4774133.74,/,80,3.33741
NoyonSLT003,740612.6011,4778983.449,/,92,6.5189199
NoyonSLT102,732335.147,4779440.627,/,92,5.5848699
NoyonSLT014,729558.4683,4790274.614,/,93,8.5665903
NoyonSLT103,742343.583,4790670.932,/,92,9.16782
NoyonSLT018,737404.9225,4790596.352,/,93,8.3662004
